period,lat,lon,time,dep,log_dep,log_dep_norm
1.0,-85.0965,25.3125,6.5,0.00062653463,-3.203055,-2.3120353
1.0,-85.0965,28.125,6.5,0.0006214862,-3.2065685,-2.3150733
1.0,-85.0965,30.9375,6.5,0.0006180604,-3.208969,-2.3171487
1.0,-85.0965,33.75,6.5,0.00061380543,-3.2119694,-2.3197427
1.0,-85.0965,36.5625,6.5,0.00060819834,-3.2159548,-2.3231885
1.0,-85.0965,39.375,6.5,0.0006070874,-3.2167487,-2.323875
1.0,-85.0965,42.1875,6.5,0.00061174174,-3.2134318,-2.3210073
1.0,-85.0965,45.0,6.5,0.0005850899,-3.2327774,-2.3377333
1.0,-85.0965,47.8125,6.5,0.00060256093,-3.219999,-2.3266852
1.0,-85.0965,50.625,6.5,0.0005844739,-3.233235,-2.338129
1.0,-85.0965,53.4375,6.5,0.0005879308,-3.2306738,-2.3359146
1.0,-85.0965,56.25,6.5,0.00059203646,-3.2276516,-2.3333015
1.0,-85.0965,59.0625,6.5,0.00058571214,-3.2323158,-2.3373344
1.0,-85.0965,61.875,6.5,0.0005865931,-3.231663,-2.3367698
1.0,-85.0965,64.6875,6.5,0.00071216247,-3.147421,-2.2639341
1.0,-85.0965,67.5,6.5,0.000704449,-3.1521504,-2.2680233
1.0,-85.0965,70.3125,6.5,0.00070287957,-3.153119,-2.2688608
1.0,-85.0965,73.125,6.5,0.0007410311,-3.1301637,-2.2490134
1.0,-85.0965,75.9375,6.5,0.0007503823,-3.1247175,-2.2443047
1.0,-85.0965,78.75,6.5,0.0006854783,-3.1640062,-2.2782738
1.0,-85.0965,81.5625,6.5,0.00068659737,-3.163298,-2.2776613
1.0,-85.0965,84.375,6.5,0.0006673293,-3.17566,-2.2883496
1.0,-85.0965,87.1875,6.5,0.00064721727,-3.1889498,-2.29984
1.0,-85.0965,90.0,6.5,0.0006094467,-3.2150643,-2.3224187
1.0,-85.0965,92.8125,6.5,0.0005888348,-3.2300065,-2.3353376
1.0,-85.0965,95.625,6.5,0.0005716965,-3.2428346,-2.3464289
1.0,-85.0965,98.4375,6.5,0.00056167314,-3.2505164,-2.3530705
1.0,-85.0965,101.25,6.5,0.0005552557,-3.255507,-2.3573854
1.0,-85.0965,104.0625,6.5,0.0005459932,-3.2628129,-2.363702
1.0,-85.0965,106.875,6.5,0.00055381743,-3.2566333,-2.3583593
1.0,-85.0965,109.6875,6.5,0.00056555145,-3.2475278,-2.3504868
1.0,-85.0965,112.5,6.5,0.00058292155,-3.2343898,-2.3391275
1.0,-85.0965,115.3125,6.5,0.0006034475,-3.2193606,-2.3261333
1.0,-85.0965,118.125,6.5,0.00062685617,-3.202832,-2.3118427
1.0,-85.0965,120.9375,6.5,0.00064792146,-3.1884775,-2.2994318
1.0,-85.0965,123.75,6.5,0.00067134754,-3.1730525,-2.2860954
1.0,-85.0965,126.5625,6.5,0.0006872589,-3.1628797,-2.2773
1.0,-85.0965,129.375,6.5,0.0006953465,-3.1577988,-2.2729068
1.0,-85.0965,132.1875,6.5,0.0006979726,-3.1561615,-2.2714913
1.0,-85.0965,135.0,6.5,0.00065904873,-3.1810825,-2.293038
1.0,-85.0965,137.8125,6.5,0.0006474055,-3.1888237,-2.299731
1.0,-85.0965,140.625,6.5,0.00063638855,-3.1962776,-2.3061757
1.0,-85.0965,143.4375,6.5,0.0006387964,-3.1946375,-2.3047576
1.0,-85.0965,146.25,6.5,0.0006439184,-3.1911693,-2.301759
1.0,-85.0965,149.0625,6.5,0.00065142184,-3.1861377,-2.2974086
1.0,-85.0965,151.875,6.5,0.00066033285,-3.180237,-2.292307
1.0,-85.0965,154.6875,6.5,0.0006705436,-3.173573,-2.2865453
1.0,-85.0965,157.5,6.5,0.00071030227,-3.1485567,-2.2649162
1.0,-85.0965,160.3125,6.5,0.0007211841,-3.141954,-2.2592075
1.0,-85.0965,163.125,6.5,0.0007696897,-3.1136844,-2.2347655
1.0,-85.0965,165.9375,6.5,0.00078313996,-3.1061606,-2.2282605
1.0,-85.0965,168.75,6.5,0.00078468776,-3.105303,-2.227519
1.0,-85.0965,171.5625,6.5,0.0007919029,-3.1013281,-2.2240822
1.0,-85.0965,174.375,6.5,0.0008053085,-3.0940378,-2.2177792
1.0,-85.0965,177.1875,6.5,0.0008115078,-3.0907073,-2.2148995
1.0,-85.0965,180.0,6.5,0.0008035818,-3.09497,-2.218585
1.0,-85.0965,-177.1875,6.5,0.00081454235,-3.0890863,-2.213498
1.0,-85.0965,-174.375,6.5,0.0008228332,-3.0846882,-2.2096953
1.0,-85.0965,-171.5625,6.5,0.0008348266,-3.0784037,-2.2042618
1.0,-85.0965,-168.75,6.5,0.00084234367,-3.0745106,-2.2008958
1.0,-85.0965,-165.9375,6.5,0.0008469434,-3.0721457,-2.198851
1.0,-85.0965,-163.125,6.5,0.00085269695,-3.0692053,-2.1963089
1.0,-85.0965,-160.3125,6.5,0.0008557456,-3.0676553,-2.1949687
1.0,-85.0965,-157.5,6.5,0.0008575947,-3.0667179,-2.1941583
1.0,-85.0965,-154.6875,6.5,0.00087303424,-3.0589688,-2.1874583
1.0,-85.0965,-151.875,6.5,0.00087524584,-3.05787,-2.1865082
1.0,-85.0965,-149.0625,6.5,0.00086593523,-3.0625145,-2.190524
1.0,-85.0965,-146.25,6.5,0.00092119223,-3.0356498,-2.1672966
1.0,-85.0965,-143.4375,6.5,0.00094532536,-3.0244186,-2.1575863
1.0,-85.0965,-140.625,6.5,0.0009497347,-3.0223978,-2.155839
1.0,-85.0965,-137.8125,6.5,0.0009791697,-3.009142,-2.144378
1.0,-85.0965,-135.0,6.5,0.0009475589,-3.0233939,-2.1567004
1.0,-85.0965,-132.1875,6.5,0.0009464789,-3.023889,-2.1571283
1.0,-85.0965,-129.375,6.5,0.0009545305,-3.0202103,-2.1539478
1.0,-85.0965,-126.5625,6.5,0.0009893473,-3.0046513,-2.1404955
1.0,-85.0965,-123.75,6.5,0.000950658,-3.0219758,-2.1554742
1.0,-85.0965,-120.9375,6.5,0.0009671913,-3.0144875,-2.149
1.0,-85.0965,-118.125,6.5,0.0009977199,-3.0009913,-2.137331
1.0,-85.0965,-115.3125,6.5,0.0010076736,-2.99668,-2.1336036
1.0,-85.0965,-112.5,6.5,0.0010568888,-2.9759707,-2.1156983
1.0,-85.0965,-109.6875,6.5,0.0011145871,-2.952886,-2.0957391
1.0,-85.0965,-106.875,6.5,0.0011331574,-2.9457097,-2.0895345
1.0,-85.0965,-104.0625,6.5,0.001216669,-2.9148276,-2.0628338
1.0,-85.0965,-101.25,6.5,0.0012240137,-2.9122138,-2.060574
1.0,-85.0965,-98.4375,6.5,0.0013009494,-2.8857396,-2.0376842
1.0,-85.0965,-95.625,6.5,0.0013008214,-2.8857822,-2.0377212
1.0,-85.0965,-92.8125,6.5,0.0013057158,-2.8841515,-2.0363111
1.0,-85.0965,-90.0,6.5,0.0011884924,-2.9250035,-2.071632
1.0,-85.0965,-87.1875,6.5,0.0011780576,-2.9288335,-2.0749433
1.0,-85.0965,-84.375,6.5,0.001162595,-2.9345715,-2.0799043
1.0,-85.0965,-81.5625,6.5,0.0011315233,-2.9463365,-2.0900764
1.0,-85.0965,-78.75,6.5,0.0011371194,-2.9441938,-2.088224
1.0,-85.0965,-75.9375,6.5,0.0011298481,-2.94698,-2.090633
1.0,-85.0965,-73.125,6.5,0.0010985777,-2.9591691,-2.1011715
1.0,-85.0965,-70.3125,6.5,0.0010971066,-2.9597511,-2.1016748
1.0,-85.0965,-67.5,6.5,0.0011085719,-2.9552362,-2.0977712
1.0,-85.0965,-64.6875,6.5,0.0011266837,-2.948198,-2.091686
1.0,-85.0965,-61.875,6.5,0.0011072692,-2.955747,-2.0982127
1.0,-85.0965,-59.0625,6.5,0.0011662749,-2.9331992,-2.078718
1.0,-85.0965,-56.25,6.5,0.0012091583,-2.9175167,-2.0651588
1.0,-85.0965,-53.4375,6.5,0.0012521367,-2.9023483,-2.0520442
1.0,-85.0965,-50.625,6.5,0.0013153807,-2.8809485,-2.033542
1.0,-85.0965,-47.8125,6.5,0.0013807209,-2.859894,-2.0153382
1.0,-85.0965,-45.0,6.5,0.0014384662,-2.8421004,-1.9999539
1.0,-85.0965,-42.1875,6.5,0.0014808892,-2.8294775,-1.9890401
1.0,-85.0965,-39.375,6.5,0.0015038592,-2.8227928,-1.9832605
1.0,-85.0965,-36.5625,6.5,0.0014981263,-2.8244517,-1.9846947
1.0,-85.0965,-33.75,6.5,0.0014481175,-2.8391962,-1.9974428
1.0,-85.0965,-30.9375,6.5,0.0013660766,-2.8645248,-2.019342
1.0,-85.0965,-28.125,6.5,0.001288987,-2.8897514,-2.041153
1.0,-85.0965,-25.3125,6.5,0.0012122475,-2.9164088,-2.0642009
1.0,-85.0965,-22.5,6.5,0.0010980357,-2.9593835,-2.101357
1.0,-85.0965,-19.6875,6.5,0.000984477,-3.0067945,-2.1423485
1.0,-85.0965,-16.875,6.5,0.0009095546,-3.0411713,-2.1720707
1.0,-85.0965,-14.0625,6.5,0.0008662632,-3.06235,-2.1903818
1.0,-85.0965,-11.25,6.5,0.000857887,-3.06657,-2.1940305
1.0,-85.0965,-8.4375,6.5,0.0008336125,-3.0790358,-2.2048082
1.0,-85.0965,-5.625,6.5,0.00081262586,-3.0901093,-2.2143826
1.0,-85.0965,-2.8125,6.5,0.00079950877,-3.0971768,-2.220493
1.0,-82.3129,0.0,6.5,0.0011250542,-2.9488266,-2.0922294
1.0,-82.3129,2.8125,6.5,0.0010507574,-2.9784975,-2.117883
1.0,-82.3129,5.625,6.5,0.0010203602,-2.9912465,-2.1289055
