lon,lat,dep,log_dep,log_dep_norm
105.1,36.27,33.12005328,1.5200910267599255,1.0363637437685906
107.5,36.27,17.940010464000004,1.253822692022239,0.7894886597330637
104.73,36.2,39.3301224,1.5947252979877247,1.1055621409397935
-159.38,36.18,0.39999947039999995,-0.39794058367831237,-0.7419709405873933
110.15,36.13,37.8400464,1.5779516602681167,1.0900101857075306
104.85,36.12,41.400145439999996,1.6170018668136164,1.1262162296294347
110.67,36.1,15.620001552000003,1.1936810726926903,0.7337273641188407
103.75,36.07,152.72001791999998,2.1838959663452533,1.6518214563981024
103.84,36.05,68.07991679999999,1.8330190163285442,1.3265000973756689
107.5,36.05,14.580007344000002,1.1637577427376398,0.7059834545602613
103.83,36.0,67.62012191999999,1.8300759494693168,1.3237713843317025
102.0,35.77,117.76015440000002,2.070998366414484,1.5471465820921675
