Longitude,Latitude,MAR,LogMAR
166.98,40.68,2.21969E-10,-9.653708567
526.98,40.68,2.21969E-10,-9.653708567
259.93,40.63,1.6172E-08,-7.791236431
-100.07,40.63,1.6172E-08,-7.791236431
259.76,40.4,4.66134E-09,-8.331489272
-100.24,40.4,4.66134E-09,-8.331489272
259.3,40.2,5.01015E-09,-8.30014952
-100.7,40.2,5.01015E-09,-8.30014952
260.91,40.09,3.61492E-09,-8.441901756
-99.09,40.09,3.61492E-09,-8.441901756
256.12,40.03,7.16641E-09,-8.144698168
-103.88,40.03,7.16641E-09,-8.144698168
140,40,1.90259E-10,-9.720655357
270.29,40,1.49036E-09,-8.826708749
500,40,1.90259E-10,-9.720655357
-89.71,40,1.49036E-09,-8.826708749
115.68,39.98,2.85388E-09,-8.544564098
475.68,39.98,2.85388E-09,-8.544564098
257.9,39.9,1.39523E-08,-7.85535393
-102.1,39.9,1.39523E-08,-7.85535393
278.41,39.84,2.21969E-09,-8.653708567
-81.59,39.84,2.21969E-09,-8.653708567
157.6,39.7,2.33226E-10,-9.63222393
256.4,39.7,3.58321E-09,-8.445728164
517.6,39.7,2.33226E-10,-9.63222393
-103.6,39.7,3.58321E-09,-8.445728164
269.39,38.98,6.31025E-09,-8.199953531
-90.61,38.98,6.31025E-09,-8.199953531
261.5,38.8,2.09285E-09,-8.679262671
-98.5,38.8,2.09285E-09,-8.679262671
270,38.75,1.36986E-08,-7.86332286
-90,38.75,1.36986E-08,-7.86332286
270,38.72,8.086E-09,-8.092266427
-90,38.72,8.086E-09,-8.092266427
55,38.7,2.15627E-09,-8.666297694
415,38.7,2.15627E-09,-8.666297694
269.98,38.64,1.31913E-08,-7.879713276
-90.02,38.64,1.31913E-08,-7.879713276
68.85,38.63,2.35445E-09,-8.628110149
428.85,38.63,2.35445E-09,-8.628110149
270,38.62,2.50507E-09,-8.601179516
-90,38.62,2.50507E-09,-8.601179516
179.3,38.6,6.08828E-11,-10.21550538
539.3,38.6,6.08828E-11,-10.21550538
272.87,38.54,1.3001E-09,-8.88602275
-87.13,38.54,1.3001E-09,-8.88602275
70.1,38.53,2.207E-08,-7.656197367
430.1,38.53,2.207E-08,-7.656197367
261.3,38.4,1.14155E-09,-8.942504106
-98.7,38.4,1.14155E-09,-8.942504106
272.4,38.39,3.80518E-09,-8.419625361
-87.6,38.39,3.80518E-09,-8.419625361
109.7,38.35,7.07128E-09,-8.150501744
469.7,38.35,7.07128E-09,-8.150501744
273.2,37.99,2.37823E-09,-8.623745344
-86.8,37.99,2.37823E-09,-8.623745344
272.04,37.91,5.70776E-09,-8.243534102
-87.96,37.91,5.70776E-09,-8.243534102
156.6,37.7,4.21265E-10,-9.375445048
163,37.7,1.00224E-10,-9.999027865
516.6,37.7,4.21265E-10,-9.375445048
523,37.7,1.00224E-10,-9.999027865
110.72,37.57,1.04642E-09,-8.980292667
470.72,37.57,1.04642E-09,-8.980292667
138,37.5,2.53678E-10,-9.59571662
498,37.5,2.53678E-10,-9.59571662
107.38,37.15,2.18798E-09,-8.659957516
467.38,37.15,2.18798E-09,-8.659957516
106.97,36.92,2.12456E-09,-8.672731804
466.97,36.92,2.12456E-09,-8.672731804
104.13,36.72,3.2344E-09,-8.490206435
464.13,36.72,3.2344E-09,-8.490206435
101.8,36.63,5.35895E-09,-8.270919902
461.8,36.63,5.35895E-09,-8.270919902
110.02,36.6,1.20497E-09,-8.91902301
470.02,36.6,1.20497E-09,-8.91902301
107.35,36.58,1.39523E-09,-8.85535393
467.35,36.58,1.39523E-09,-8.85535393
271,36.42,2.18798E-09,-8.659957516
-89,36.42,2.18798E-09,-8.659957516
166.73,36.4,1.74404E-10,-9.758443917
526.73,36.4,1.74404E-10,-9.758443917
270.7,36.37,3.77347E-09,-8.423259646
-89.3,36.37,3.77347E-09,-8.423259646
53,36.3,2.15627E-09,-8.666297694
413,36.3,2.15627E-09,-8.666297694
105.1,36.27,2.44165E-09,-8.612315882
107.5,36.27,1.74404E-09,-8.758443917
465.1,36.27,2.44165E-09,-8.612315882
467.5,36.27,1.74404E-09,-8.758443917
104.73,36.2,3.5515E-09,-8.449588584
464.73,36.2,3.5515E-09,-8.449588584
110.15,36.13,1.39523E-09,-8.85535393
470.15,36.13,1.39523E-09,-8.85535393
104.85,36.12,2.47336E-09,-8.606712004
464.85,36.12,2.47336E-09,-8.606712004
110.67,36.1,1.58549E-09,-8.799836603
470.67,36.1,1.58549E-09,-8.799836603
103.75,36.07,4.66134E-09,-8.331489272
