Longitude,Latitude,MAR,LogMAR
534.95,37.4,2.78095E-10,-9.555807014
181.9,37.18,5.39066E-11,-10.26835769
-178.1,37.18,5.39066E-11,-10.26835769
106.97,36.92,4.98795E-10,-9.302077884
466.97,36.92,4.98795E-10,-9.302077884
104.13,36.72,3.22362E-09,-8.491656502
464.13,36.72,3.22362E-09,-8.491656502
99.88,36.67,1.95459E-09,-8.708943977
459.88,36.67,1.95459E-09,-8.708943977
101.8,36.63,1.24715E-09,-8.904082661
461.8,36.63,1.24715E-09,-8.904082661
110.02,36.6,5.42237E-10,-9.265810497
470.02,36.6,5.42237E-10,-9.265810497
101.73,36.58,6.56393E-10,-9.182836262
107.35,36.58,6.96664E-10,-9.15697655
461.73,36.58,6.56393E-10,-9.182836262
467.35,36.58,6.96664E-10,-9.15697655
166.73,36.4,5.70776E-11,-10.2435341
526.73,36.4,5.70776E-11,-10.2435341
105.1,36.27,1.05023E-09,-8.978716279
107.5,36.27,5.68874E-10,-9.244984168
465.1,36.27,1.05023E-09,-8.978716279
467.5,36.27,5.68874E-10,-9.244984168
104.73,36.2,1.24715E-09,-8.904082661
464.73,36.2,1.24715E-09,-8.904082661
200.62,36.18,1.26839E-11,-10.89674662
-159.38,36.18,1.26839E-11,-10.89674662
110.15,36.13,1.1999E-09,-8.920855479
470.15,36.13,1.1999E-09,-8.920855479
104.85,36.12,1.31279E-09,-8.881806266
464.85,36.12,1.31279E-09,-8.881806266
110.67,36.1,4.95307E-10,-9.305125577
470.67,36.1,4.95307E-10,-9.305125577
103.75,36.07,4.84272E-09,-8.314910692
463.75,36.07,4.84272E-09,-8.314910692
103.84,36.05,2.1588E-09,-8.66578706
107.5,36.05,4.62329E-10,-9.335049083
463.84,36.05,2.1588E-09,-8.66578706
467.5,36.05,4.62329E-10,-9.335049083
103.83,36,2.14422E-09,-8.668731441
463.83,36,2.14422E-09,-8.668731441
102,35.77,3.73415E-09,-8.42780881
462,35.77,3.73415E-09,-8.42780881
109.42,35.75,5.85997E-10,-9.23210464
109.42,35.75,8.09234E-10,-9.091925937
109.42,35.75,9.55416E-10,-9.019807475
109.42,35.75,1.52778E-09,-8.815939811
469.42,35.75,5.85997E-10,-9.23210464
469.42,35.75,8.09234E-10,-9.091925937
469.42,35.75,9.55416E-10,-9.019807475
469.42,35.75,1.52778E-09,-8.815939811
107.6,35.7,1.98376E-09,-8.702509867
107.7,35.7,8.51091E-10,-9.070024095
467.6,35.7,1.98376E-09,-8.702509867
467.7,35.7,8.51091E-10,-9.070024095
103.17,35.63,1.517E-09,-8.819015436
463.17,35.63,1.517E-09,-8.819015436
103.2,35.62,1.15233E-09,-8.938421684
109.78,35.62,4.67402E-10,-9.330309123
463.2,35.62,1.15233E-09,-8.938421684
