lon,lat,PINN_log_dep
152.7731092436975,-90.0,-2.6281967
155.79831932773106,-90.0,-2.6185813
158.8235294117647,-90.0,-2.6073096
161.84873949579833,-90.0,-2.5960715
164.8739495798319,-90.0,-2.5834122
167.89915966386553,-90.0,-2.5705
170.92436974789916,-90.0,-2.5576549
173.94957983193274,-90.0,-2.5446355
176.97478991596637,-90.0,-2.5310407
180.0,-90.0,-2.517461
-180.0,-86.94915254237289,-2.9423323
-176.9747899159664,-86.94915254237289,-2.96114
-173.94957983193277,-86.94915254237289,-2.9781156
-170.92436974789916,-86.94915254237289,-2.9867332
-167.89915966386553,-86.94915254237289,-2.989569
-164.87394957983193,-86.94915254237289,-2.9928582
-161.84873949579833,-86.94915254237289,-2.996542
-158.8235294117647,-86.94915254237289,-3.000647
-155.7983193277311,-86.94915254237289,-3.0051007
-152.7731092436975,-86.94915254237289,-3.0098197
-149.74789915966386,-86.94915254237289,-3.0147626
-146.72268907563026,-86.94915254237289,-3.020327
-143.69747899159665,-86.94915254237289,-3.0260878
-140.67226890756302,-86.94915254237289,-3.0318217
-137.64705882352942,-86.94915254237289,-3.039183
-134.62184873949582,-86.94915254237289,-3.040239
-131.5966386554622,-86.94915254237289,-3.0367029
-128.57142857142856,-86.94915254237289,-3.0363276
-125.54621848739497,-86.94915254237289,-3.037652
-122.52100840336136,-86.94915254237289,-3.0387173
-119.49579831932772,-86.94915254237289,-3.0374012
-116.47058823529412,-86.94915254237289,-3.0341983
-113.44537815126051,-86.94915254237289,-3.0295799
-110.4201680672269,-86.94915254237289,-3.0349464
-107.39495798319328,-86.94915254237289,-3.0440733
-104.36974789915966,-86.94915254237289,-3.0536723
-101.34453781512605,-86.94915254237289,-3.067715
-98.31932773109244,-86.94915254237289,-3.088395
-95.29411764705884,-86.94915254237289,-3.109547
-92.2689075630252,-86.94915254237289,-3.1310482
-89.2436974789916,-86.94915254237289,-3.1498814
-86.21848739495799,-86.94915254237289,-3.1676188
-83.19327731092437,-86.94915254237289,-3.1827056
-80.16806722689076,-86.94915254237289,-3.195504
-77.14285714285714,-86.94915254237289,-3.2096918
-74.11764705882354,-86.94915254237289,-3.2242432
-71.09243697478992,-86.94915254237289,-3.2370825
-68.0672268907563,-86.94915254237289,-3.2425792
-65.0420168067227,-86.94915254237289,-3.241285
-62.01680672268908,-86.94915254237289,-3.2364075
-58.991596638655466,-86.94915254237289,-3.2303407
-55.96638655462185,-86.94915254237289,-3.2162068
-52.94117647058823,-86.94915254237289,-3.2006905
-49.91596638655463,-86.94915254237289,-3.1849587
-46.89075630252103,-86.94915254237289,-3.1761227
-43.8655462184874,-86.94915254237289,-3.1645114
-40.84033613445379,-86.94915254237289,-3.1470766
-37.81512605042016,-86.94915254237289,-3.1272666
-34.78991596638656,-86.94915254237289,-3.1090956
-31.76470588235296,-86.94915254237289,-3.0961056
-28.739495798319325,-86.94915254237289,-3.0858872
-25.71428571428572,-86.94915254237289,-3.076433
-22.68907563025209,-86.94915254237289,-3.067747
-19.66386554621849,-86.94915254237289,-3.0598733
-16.638655462184886,-86.94915254237289,-3.0528033
-13.613445378151257,-86.94915254237289,-3.0365949
-10.588235294117652,-86.94915254237289,-3.0174267
-7.563025210084049,-86.94915254237289,-3.0002644
-4.537815126050418,-86.94915254237289,-2.9843295
-1.5126050420168156,-86.94915254237289,-2.9693224
1.5126050420167871,-86.94915254237289,-2.953341
4.537815126050418,-86.94915254237289,-2.9325879
7.563025210084021,-86.94915254237289,-2.9127727
10.588235294117652,-86.94915254237289,-2.893901
13.613445378151257,-86.94915254237289,-2.8760238
16.638655462184857,-86.94915254237289,-2.8591492
19.66386554621849,-86.94915254237289,-2.8433182
22.68907563025209,-86.94915254237289,-2.8285646
25.71428571428572,-86.94915254237289,-2.813789
28.739495798319325,-86.94915254237289,-2.7984788
31.764705882352928,-86.94915254237289,-2.784227
34.78991596638656,-86.94915254237289,-2.7741933
37.81512605042016,-86.94915254237289,-2.7744038
40.84033613445376,-86.94915254237289,-2.7725024
43.8655462184874,-86.94915254237289,-2.7647116
46.890756302521,-86.94915254237289,-2.755232
49.9159663865546,-86.94915254237289,-2.7490551
52.94117647058823,-86.94915254237289,-2.7488894
55.96638655462184,-86.94915254237289,-2.741658
58.991596638655466,-86.94915254237289,-2.7346983
62.01680672268907,-86.94915254237289,-2.7256205
65.04201680672267,-86.94915254237289,-2.715719
68.0672268907563,-86.94915254237289,-2.7050245
71.0924369747899,-86.94915254237289,-2.6948369
74.11764705882354,-86.94915254237289,-2.685159
77.14285714285711,-86.94915254237289,-2.6740046
80.16806722689074,-86.94915254237289,-2.6649592
83.19327731092437,-86.94915254237289,-2.6580815
86.21848739495795,-86.94915254237289,-2.6510055
89.24369747899158,-86.94915254237289,-2.6430023
92.2689075630252,-86.94915254237289,-2.6367984
95.29411764705884,-86.94915254237289,-2.6293695
98.3193277310924,-86.94915254237289,-2.6171246
101.34453781512605,-86.94915254237289,-2.604338
104.36974789915968,-86.94915254237289,-2.591026
107.39495798319324,-86.94915254237289,-2.577206
110.42016806722688,-86.94915254237289,-2.574343
113.44537815126051,-86.94915254237289,-2.5841136
116.47058823529407,-86.94915254237289,-2.5939198
119.49579831932772,-86.94915254237289,-2.6045055
122.52100840336136,-86.94915254237289,-2.6266937
125.54621848739492,-86.94915254237289,-2.652478
128.57142857142856,-86.94915254237289,-2.678059
131.5966386554622,-86.94915254237289,-2.6877384
134.62184873949582,-86.94915254237289,-2.6838083
137.6470588235294,-86.94915254237289,-2.6796248
140.67226890756302,-86.94915254237289,-2.6686335
143.69747899159665,-86.94915254237289,-2.6568809
146.72268907563023,-86.94915254237289,-2.645607
149.74789915966386,-86.94915254237289,-2.6346097
152.7731092436975,-86.94915254237289,-2.6237946
155.79831932773106,-86.94915254237289,-2.6131856
158.8235294117647,-86.94915254237289,-2.6027997
161.84873949579833,-86.94915254237289,-2.593293
164.8739495798319,-86.94915254237289,-2.5806653
167.89915966386553,-86.94915254237289,-2.566263
170.92436974789916,-86.94915254237289,-2.550943
173.94957983193274,-86.94915254237289,-2.5360773
176.97478991596637,-86.94915254237289,-2.52133
180.0,-86.94915254237289,-2.5066025
-180.0,-83.89830508474576,-2.7668378
-176.9747899159664,-83.89830508474576,-2.7826684
-173.94957983193277,-83.89830508474576,-2.8014505
-170.92436974789916,-83.89830508474576,-2.8185692
-167.89915966386553,-83.89830508474576,-2.8243504
-164.87394957983193,-83.89830508474576,-2.8260326
-161.84873949579833,-83.89830508474576,-2.824379
-158.8235294117647,-83.89830508474576,-2.8234847
-155.7983193277311,-83.89830508474576,-2.8233407
-152.7731092436975,-83.89830508474576,-2.8239403
-149.74789915966386,-83.89830508474576,-2.8250897
-146.72268907563026,-83.89830508474576,-2.8252256
-143.69747899159665,-83.89830508474576,-2.82576
-140.67226890756302,-83.89830508474576,-2.8235579
-137.64705882352942,-83.89830508474576,-2.8213809
-134.62184873949582,-83.89830508474576,-2.8182404
-131.5966386554622,-83.89830508474576,-2.8169448
-128.57142857142856,-83.89830508474576,-2.818073
-125.54621848739497,-83.89830508474576,-2.8193815
-122.52100840336136,-83.89830508474576,-2.821273
-119.49579831932772,-83.89830508474576,-2.8162282
-116.47058823529412,-83.89830508474576,-2.8099127
-113.44537815126051,-83.89830508474576,-2.805185
-110.4201680672269,-83.89830508474576,-2.802328
-107.39495798319328,-83.89830508474576,-2.7988017
-104.36974789915966,-83.89830508474576,-2.808221
-101.34453781512605,-83.89830508474576,-2.8172388
-98.31932773109244,-83.89830508474576,-2.827578
-95.29411764705884,-83.89830508474576,-2.8391085
-92.2689075630252,-83.89830508474576,-2.8501456
-89.2436974789916,-83.89830508474576,-2.8657339
-86.21848739495799,-83.89830508474576,-2.8808248
-83.19327731092437,-83.89830508474576,-2.8963923
-80.16806722689076,-83.89830508474576,-2.9125528
-77.14285714285714,-83.89830508474576,-2.9305248
-74.11764705882354,-83.89830508474576,-2.951343
-71.09243697478992,-83.89830508474576,-2.9729307
-68.0672268907563,-83.89830508474576,-2.9880366
-65.0420168067227,-83.89830508474576,-2.999927
-62.01680672268908,-83.89830508474576,-3.0094185
-58.991596638655466,-83.89830508474576,-3.0105739
-55.96638655462185,-83.89830508474576,-3.0098145
-52.94117647058823,-83.89830508474576,-3.0092444
-49.91596638655463,-83.89830508474576,-3.0011566
-46.89075630252103,-83.89830508474576,-2.9877598
-43.8655462184874,-83.89830508474576,-2.9750364
-40.84033613445379,-83.89830508474576,-2.9630537
-37.81512605042016,-83.89830508474576,-2.9518473
-34.78991596638656,-83.89830508474576,-2.9414208
-31.76470588235296,-83.89830508474576,-2.9322171
-28.739495798319325,-83.89830508474576,-2.926857
-25.71428571428572,-83.89830508474576,-2.9191077
-22.68907563025209,-83.89830508474576,-2.9120479
-19.66386554621849,-83.89830508474576,-2.905378
